Neighbourhood Id,Neighbourhood,After-Tax Household Income,Total Population,   Southeast Asian
1,West Humber-Clairville,59703,33312,490
2,Mount Olive-Silverstone-Jamestown,46986,32954,590
3,Thistletown-Beaumond Heights,57522,10360,120
4,Rexdale-Kipling,51194,10529,170
5,Elms-Old Rexdale,49425,9456,370
6,Kingsview Village-The Westway,50714,22000,270
7,Willowridge-Martingrove-Richview,57048,22156,110
8,Humber Heights-Westmount,54919,10948,25
9,Edenbridge-Humber Valley,62463,15535,55
10,Princess-Rosethorn,93391,11051,75
11,Eringate-Centennial-West Deane,69740,18588,110
12,Markland Wood,64297,10554,50
13,Etobicoke West Mall,50570,11848,155
14,Islington-City Centre West,57658,43965,490
15,Kingsway South,106386,9271,25
16,Stonegate-Queensway,67549,25051,275
17,Mimico,55300,33964,405
18,New Toronto,40859,11463,105
19,Long Branch,47680,10084,125
20,Alderwood,61402,12054,55
21,Humber Summit,53272,12416,440
22,Humbermede,48655,15545,1085
23,Pelmo Park-Humberlea,59842,10722,705
24,Black Creek,39986,21737,2595
25,Glenfield-Jane Heights,44488,30491,3985
26,Downsview-Roding-CFB,44087,35052,2065
27,York University Heights,42916,27593,1375
28,Rustic,41187,9941,260
29,Maple Leaf,52174,10111,270
30,Brookhaven-Amesbury,43512,17757,1095
31,Yorkdale-Glen Park,49803,14804,535
32,Englemount-Lawrence,45087,22372,215
33,Clanton Park,54498,16472,210
34,Bathurst Manor,51076,15873,150
35,Westminster-Branson,42465,26274,120
36,Newtonbrook West,46815,23831,185
37,Willowdale West,54226,16936,170
38,Lansing-Westgate,60980,16164,90
39,Bedford Park-Nortown,76160,23236,75
40,St.Andrew-Windfields,80145,17812,70
41,Bridle Path-Sunnybrook-York Mills,161448,9266,45
42,Banbury-Don Mills,60203,27695,110
43,Victoria Village,43743,17510,95
44,Flemingdon Park,43511,21933,230
45,Parkwoods-Donalda,52550,34805,195
46,Pleasant View,60065,15818,125
47,Don Valley Village,51247,27051,190
48,Hillcrest Village,57682,16934,90
49,Bayview Woods-Steeles,61716,13154,135
50,Newtonbrook East,54195,16097,110
51,Willowdale East,55154,50434,385
52,Bayview Village,58028,21396,200
53,Henry Farm,47659,15723,115
54,O'Connor-Parkview,48969,18675,100
55,Thorncliffe Park,38645,21108,95
56,Leaside-Bennington,85039,16828,85
57,Broadview North,41036,11499,85
58,Old East York,61174,9233,190
59,Danforth-East York,63221,17180,140
60,Woodbine-Lumsden,56681,7865,55
61,Taylor-Massey,37875,15683,175
62,East End-Danforth,56179,21381,95
63,The Beaches,70957,21567,160
64,Woodbine Corridor,63343,12541,75
65,Greenwood-Coxwell,52770,14417,190
66,Danforth,62482,9666,65
67,Playter Estates-Danforth,55536,7804,60
68,North Riverdale,68164,11916,105
69,Blake-Jones,51381,7727,90
70,South Riverdale,56192,27876,650
71,Cabbagetown-South St.James Town,50873,11669,125
72,Regent Park,30794,10803,390
73,Moss Park,37295,20506,340
74,North St.James Town,31304,18615,270
75,Church-Yonge Corridor,41813,31340,320
76,Bay Street Corridor,44614,25797,340
77,Waterfront Communities-The Island,57670,65913,675
78,Kensington-Chinatown,37571,17945,585
79,University,45538,7607,80
80,Palmerston-Little Italy,52309,13826,85
81,Trinity-Bellwoods,51502,16556,165
82,Niagara,59929,31180,365
83,Dufferin Grove,44145,11785,235
84,Little Portugal,52519,15559,325
85,South Parkdale,32539,21849,680
86,Roncesvalles,46883,14974,315
87,High Park-Swansea,62128,23925,240
88,High Park North,52827,22162,185
89,Runnymede-Bloor West Village,74729,10070,50
90,Junction Area,53804,14366,395
91,Weston-Pellam Park,48206,11098,495
92,Corso Italia-Davenport,56345,14133,95
93,Dovercourt-Wallace Emerson-Juncti,50741,36625,1000
94,Wychwood,50261,14349,165
95,Annex,49912,30526,190
96,Casa Loma,65574,10968,55
97,Yonge-St.Clair,58838,12528,50
98,Rosedale-Moore Park,72915,20923,45
99,Mount Pleasant East,71154,16775,50
100,Yonge-Eglinton,63267,11817,75
101,Forest Hill South,67446,10732,75
102,Forest Hill North,53978,12806,20
103,Lawrence Park South,105043,15179,45
104,Mount Pleasant West,48066,29658,115
105,Lawrence Park North,103660,14607,115
106,Humewood-Cedarvale,49252,14365,80
107,Oakwood Village,46349,21210,385
108,Briar Hill-Belgravia,48395,14257,170
109,Caledonia-Fairbank,51225,9955,160
110,Keelesdale-Eglinton West,45058,11058,335
111,Rockcliffe-Smythe,46154,22246,1285
112,Beechborough-Greenbrook,37540,6577,215
113,Weston,41356,17992,550
114,Lambton Baby Point,58158,7985,35
115,Mount Dennis,43790,13593,655
116,Steeles,55755,24623,170
117,L'Amoreaux,49769,43993,280
118,Tam O'Shanter-Sullivan,46095,27446,165
119,Wexford/Maryvale,53752,27917,215
120,Clairlea-Birchmount,53716,26984,250
121,Oakridge,32079,13845,125
122,Birchcliffe-Cliffside,57017,22291,265
123,Cliffcrest,60384,15935,60
124,Kennedy Park,41776,17123,240
125,Ionview,42971,13641,135
126,Dorset Park,47630,25003,265
127,Bendale,51254,29960,310
128,Agincourt South-Malvern West,53886,23757,155
129,Agincourt North,55893,29113,260
130,Milliken,55464,26572,240
131,Rouge,72784,46496,295
132,Malvern,53425,43794,200
133,Centennial Scarborough,86816,13362,55
134,Highland Creek,87321,12494,85
135,Morningside,50069,17455,210
136,West Hill,46803,27392,215
137,Woburn,47908,53485,315
138,Eglinton East,42790,22776,195
139,Scarborough Village,40181,16724,70
140,Guildwood,67678,9917,70
